epoch,dendrites_acc,dendrites_iou_score,dendrites_loss,loss,spines_acc,spines_iou_score,spines_loss,val_dendrites_acc,val_dendrites_iou_score,val_dendrites_loss,val_loss,val_spines_acc,val_spines_iou_score,val_spines_loss
13,0.9472018480300903,0.8517642021179199,0.08093195408582687,0.08753946423530579,0.9568654298782349,0.725411057472229,0.0066076661460101604,0.9361646771430969,0.6064801812171936,0.2452639937400818,0.2737577557563782,0.939490795135498,0.458735853433609,0.02849362976849079
14,0.9472405314445496,0.856477677822113,0.0781063660979271,0.0845344066619873,0.9568808674812317,0.7318863868713379,0.006428055465221405,0.934393048286438,0.608717143535614,0.2435385137796402,0.272107869386673,0.9380725026130676,0.38426151871681213,0.028569132089614868
15,0.9473116397857666,0.8539097905158997,0.07965485006570816,0.08614848554134369,0.956943154335022,0.729820966720581,0.006493674125522375,0.9359683394432068,0.601719319820404,0.24899856746196747,0.2772253155708313,0.9388106465339661,0.4479290544986725,0.028227386996150017
16,0.9473535418510437,0.8559278845787048,0.07847987115383148,0.08487769961357117,0.9569825530052185,0.7333767414093018,0.006397855002433062,0.9359607696533203,0.5973783731460571,0.2523799240589142,0.280527263879776,0.9392625093460083,0.46159809827804565,0.02814750000834465
17,0.9474127888679504,0.8585810661315918,0.07702004909515381,0.0832945853471756,0.9570115804672241,0.7379547357559204,0.006274659186601639,0.9360047578811646,0.5996388792991638,0.25058144330978394,0.27881327271461487,0.9387089610099792,0.45694661140441895,0.028232095763087273
18,0.9474707841873169,0.8610113263130188,0.0755421444773674,0.08174575865268707,0.9570598006248474,0.7406889200210571,0.00620358856394887,0.9358282089233398,0.6112290024757385,0.24161383509635925,0.26977190375328064,0.9397671222686768,0.46034207940101624,0.028158143162727356
19,0.9474999904632568,0.8612914085388184,0.07536333799362183,0.08153713494539261,0.9570669531822205,0.7418502569198608,0.006173683330416679,0.9357864856719971,0.601366400718689,0.24928002059459686,0.27813372015953064,0.9397359490394592,0.4490756094455719,0.028853639960289
20,0.947553277015686,0.8635764122009277,0.07405637204647064,0.08008480817079544,0.957103431224823,0.7467868328094482,0.006028526462614536,0.9363500475883484,0.6002692580223083,0.2501130700111389,0.27774578332901,0.9386348724365234,0.47726595401763916,0.02763289585709572
21,0.9475662708282471,0.8661037683486938,0.07257641106843948,0.078545942902565,0.9571229219436646,0.7489197254180908,0.00596948666498065,0.9356556534767151,0.6075853705406189,0.2444133758544922,0.2729620039463043,0.9390498995780945,0.44715437293052673,0.028548728674650192
22,0.9476070404052734,0.8675057888031006,0.07176242023706436,0.07767493277788162,0.957139790058136,0.7510953545570374,0.005912437103688717,0.9361503720283508,0.6024776697158813,0.24839115142822266,0.276263028383255,0.9390769004821777,0.4675034284591675,0.02787156216800213
23,0.9476239681243896,0.8683711886405945,0.07127649337053299,0.07716911286115646,0.9571605920791626,0.752232015132904,0.005892592016607523,0.9360230565071106,0.5975022315979004,0.25229978561401367,0.2808040678501129,0.9391553997993469,0.4517185389995575,0.028504399582743645
